Det. ID: 0, ID: 5513, Fem: 19, Asic: 2, Channel: 52, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 2 52
Det. ID: 0, ID: 5514, Fem: 19, Asic: 2, Channel: 53, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 2 53
Det. ID: 0, ID: 5515, Fem: 19, Asic: 2, Channel: 54, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 2 54
Det. ID: 0, ID: 5516, Fem: 19, Asic: 2, Channel: 55, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 2 55
Det. ID: 0, ID: 5517, Fem: 19, Asic: 2, Channel: 56, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 2 56
Det. ID: 0, ID: 5518, Fem: 19, Asic: 2, Channel: 57, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 2 57
Det. ID: 0, ID: 5519, Fem: 19, Asic: 2, Channel: 58, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 2 58
Det. ID: 0, ID: 5520, Fem: 19, Asic: 2, Channel: 59, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 2 59
Det. ID: 0, ID: 5521, Fem: 19, Asic: 2, Channel: 60, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 2 60
Det. ID: 0, ID: 5522, Fem: 19, Asic: 2, Channel: 61, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 2 61
Det. ID: 0, ID: 5523, Fem: 19, Asic: 2, Channel: 62, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 2 62
Det. ID: 0, ID: 5524, Fem: 19, Asic: 2, Channel: 63, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 2 63
Det. ID: 0, ID: 5525, Fem: 19, Asic: 2, Channel: 64, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 2 64
Det. ID: 0, ID: 5526, Fem: 19, Asic: 2, Channel: 65, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 2 65
Det. ID: 0, ID: 5527, Fem: 19, Asic: 2, Channel: 66, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 2 66
Det. ID: 0, ID: 5528, Fem: 19, Asic: 2, Channel: 67, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 2 67
Det. ID: 0, ID: 5529, Fem: 19, Asic: 2, Channel: 68, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 2 68
Det. ID: 0, ID: 5530, Fem: 19, Asic: 2, Channel: 69, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 2 69
Det. ID: 0, ID: 5531, Fem: 19, Asic: 3, Channel: 0, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 3 0
Det. ID: 0, ID: 5532, Fem: 19, Asic: 3, Channel: 1, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 3 1
Det. ID: 0, ID: 5533, Fem: 19, Asic: 3, Channel: 2, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 3 2
Det. ID: 0, ID: 5534, Fem: 19, Asic: 3, Channel: 3, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 3 3
Det. ID: 0, ID: 5535, Fem: 19, Asic: 3, Channel: 4, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 3 4
Det. ID: 0, ID: 5536, Fem: 19, Asic: 3, Channel: 5, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 3 5
Det. ID: 0, ID: 5537, Fem: 19, Asic: 3, Channel: 6, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 3 6
Det. ID: 0, ID: 5538, Fem: 19, Asic: 3, Channel: 7, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 3 7
Det. ID: 0, ID: 5539, Fem: 19, Asic: 3, Channel: 8, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 3 8
Det. ID: 0, ID: 5540, Fem: 19, Asic: 3, Channel: 9, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 3 9
Det. ID: 0, ID: 5541, Fem: 19, Asic: 3, Channel: 10, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 3 10
Det. ID: 0, ID: 5542, Fem: 19, Asic: 3, Channel: 11, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 3 11
Det. ID: 0, ID: 5543, Fem: 19, Asic: 3, Channel: 12, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 3 12
Det. ID: 0, ID: 5544, Fem: 19, Asic: 3, Channel: 13, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 3 13
Det. ID: 0, ID: 5545, Fem: 19, Asic: 3, Channel: 14, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 3 14
Det. ID: 0, ID: 5546, Fem: 19, Asic: 3, Channel: 15, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 3 15
Det. ID: 0, ID: 5547, Fem: 19, Asic: 3, Channel: 16, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 3 16
Det. ID: 0, ID: 5548, Fem: 19, Asic: 3, Channel: 17, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 3 17
Det. ID: 0, ID: 5549, Fem: 19, Asic: 3, Channel: 18, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 3 18
Det. ID: 0, ID: 5550, Fem: 19, Asic: 3, Channel: 19, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 3 19
Det. ID: 0, ID: 5551, Fem: 19, Asic: 3, Channel: 20, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 3 20
Det. ID: 0, ID: 5552, Fem: 19, Asic: 3, Channel: 21, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 3 21
Det. ID: 0, ID: 5553, Fem: 19, Asic: 3, Channel: 22, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 3 22
Det. ID: 0, ID: 5554, Fem: 19, Asic: 3, Channel: 23, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 3 23
Det. ID: 0, ID: 5555, Fem: 19, Asic: 3, Channel: 24, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 3 24
Det. ID: 0, ID: 5556, Fem: 19, Asic: 3, Channel: 25, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 3 25
Det. ID: 0, ID: 5557, Fem: 19, Asic: 3, Channel: 26, Pedestal: 250, Q ANALYZED: 1, X Pad: 0, Y Pad: 0, Map : Detector Det ID, Fem, Asic, Ch: 0 19 3 26
